[0.015s] Invoking command in '/robofuzz/targets/px4_ros_com_ros2/build/px4_msgs': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --build /robofuzz/targets/px4_ros_com_ros2/build/px4_msgs -- -j12 -l12
[0.567s] [  0%] Built target px4_msgs__cpp
[0.593s] [ 12%] Built target px4_msgs__rosidl_generator_c
[0.638s] [ 24%] Built target px4_msgs__rosidl_typesupport_cpp
[0.654s] [ 37%] Built target px4_msgs__rosidl_typesupport_introspection_cpp
[0.661s] [ 50%] Built target px4_msgs__rosidl_typesupport_c
[0.675s] [ 62%] Built target px4_msgs__rosidl_typesupport_fastrtps_cpp
[0.683s] [ 75%] Built target px4_msgs__rosidl_typesupport_introspection_c
[0.773s] [ 88%] Built target px4_msgs__rosidl_typesupport_fastrtps_c
[0.794s] [ 88%] Built target px4_msgs
[0.824s] [ 88%] Built target px4_msgs__py
[0.985s] [100%] Built target px4_msgs__python
[1.025s] [100%] Built target px4_msgs__rosidl_typesupport_c__pyext
[1.025s] [100%] Built target px4_msgs__rosidl_typesupport_fastrtps_c__pyext
[1.026s] [100%] Built target px4_msgs__rosidl_typesupport_introspection_c__pyext
[1.036s] Invoked command in '/robofuzz/targets/px4_ros_com_ros2/build/px4_msgs' returned '0': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --build /robofuzz/targets/px4_ros_com_ros2/build/px4_msgs -- -j12 -l12
[6.811s] Invoking command in '/robofuzz/targets/px4_ros_com_ros2/build/px4_msgs': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --install /robofuzz/targets/px4_ros_com_ros2/build/px4_msgs
[6.829s] -- Install configuration: "RELWITHDEBINFO"
[6.832s] -- Execute custom install script
[6.833s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/share/ament_index/resource_index/rosidl_interfaces/px4_msgs
[6.847s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_armed.h
[6.847s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls.h
[6.848s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls0.h
[6.848s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls1.h
[6.848s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls2.h
[6.848s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls3.h
[6.848s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls4.h
[6.849s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls5.h
[6.849s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls_virtual_fw.h
[6.849s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_controls_virtual_mc.h
[6.849s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/actuator_outputs.h
[6.850s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/adc_report.h
[6.850s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/airspeed.h
[6.850s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/airspeed_validated.h
[6.850s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/airspeed_wind.h
[6.850s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/battery_status.h
[6.850s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/camera_capture.h
[6.851s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/camera_trigger.h
[6.851s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/camera_trigger_secondary.h
[6.851s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/cellular_status.h
[6.851s] -- Up-to-date symlink: /robofuzz/targets/px4_ros_com_ros2/install/px4_msgs/include/px4_msgs/msg/collision_constraints.h
